DI	UT
10.1016/j.bbr.2011.11.024	WOS:000300472600016
10.1016/j.bbrc.2010.04.043	WOS:000277801200026
10.1016/j.biomaterials.2012.01.057	WOS:000302425400015
10.1016/j.biopsych.2011.09.032	WOS:000298150300012
10.1016/j.biopsych.2011.11.024	WOS:000305278800013
10.1016/j.biopsych.2011.12.031	WOS:000306898800015
10.1016/j.bios.2009.10.001	WOS:000273945800035
10.1016/j.bios.2011.10.010	WOS:000300468400025
10.1016/j.bios.2012.01.039	WOS:000302886500026
10.1016/j.biosystems.2006.04.015	WOS:000247057900025
10.1016/j.bpc.2003.12.010	WOS:000221368900004
10.1016/j.bpc.2010.02.017	WOS:000279500100003
10.1016/j.bpj.2010.08.017	WOS:000282850600037
10.1016/j.bpj.2011.12.031	WOS:000299244100021
10.1016/j.bpj.2012.01.002	WOS:000301280900017
10.1016/j.bpj.2012.03.065	WOS:000304091100020
10.1016/j.cageo.2011.05.012	WOS:000298524100012
10.1016/j.catena.2007.05.008	WOS:000252611100005
10.1016/j.cattod.2011.12.018	WOS:000308675900002
10.1016/j.cbpa.2007.01.518	WOS:000245748600456
10.1016/j.ceramint.2004.01.010	WOS:000225753600036
10.1016/j.ceramint.2008.02.020	WOS:000262773200039
10.1016/j.ceramint.2011.10.036	WOS:000301611700035
10.1016/j.chroma.2003.08.092	WOS:000187662500010
10.1016/j.chroma.2003.08.113	WOS:000187720100005
10.1016/j.chroma.2012.02.004	WOS:000302663000008
10.1016/j.chroma.2012.03.029	WOS:000303269000010
10.1016/j.clinph.2011.01.040	WOS:000292633300007
10.1016/j.colsurfa.2003.09.018	WOS:000188059700012
10.1016/j.colsurfa.2003.09.025	WOS:000188059700020
10.1016/j.colsurfb.2009.08.027	WOS:000278695300018
10.1016/j.colsurfb.2009.12.013	WOS:000275352800018
10.1016/j.commatsci.2012.02.038	WOS:000302934600010
10.1016/j.copbio.2011.12.010	WOS:000303220700018
10.1016/j.corsci.2009.01.008	WOS:000264714800002
10.1016/j.corsci.2011.08.051	WOS:000297894000010
10.1016/j.cortex.2009.07.010	WOS:000277780100007
10.1016/j.cpc.2004.06.022	WOS:000226074600031
10.1016/j.cpc.2012.05.007	WOS:000306771900024
10.1016/j.egypro.2011.02.312	WOS:000298299704032
10.1016/j.egypro.2011.02.629	WOS:000298299706113
10.1016/j.egypro.2011.02.645	WOS:000298299707011
10.1016/j.ejcb.2011.10.003	WOS:000301095900003
10.1016/j.ejmech.2004.12.005	WOS:000230243200001
10.1016/j.elecom.2003.10.002	WOS:000186535000011
10.1016/j.elecom.2004.05.015	WOS:000222726100021
10.1016/j.elecom.2004.10.002	WOS:000225157100009
10.1016/j.electacta.2005.02.093	WOS:000231202800015
10.1016/j.electacta.2008.01.032	WOS:000258975400018
10.1016/j.electacta.2009.03.029	WOS:000270347200010
10.1016/j.electacta.2011.12.023	WOS:000301096100026
10.1016/j.electacta.2012.06.069	WOS:000307920300004
10.1016/j.elspec.2012.01.001	WOS:000304640700003
10.1016/j.envpol.2004.04.013	WOS:000224022000010
10.1016/j.envpol.2011.12.001	WOS:000301087800046
10.1016/j.envpol.2012.04.022	WOS:000306034900005
10.1016/j.expneurol.2010.02.009	WOS:000279128400035
10.1016/j.fuel.2011.11.052	WOS:000300497300014
10.1016/j.fuproc.2011.11.011	WOS:000301010300021
10.1016/j.fusengdes.2007.05.010	WOS:000250744500168
10.1016/j.fusengdes.2010.04.009	WOS:000287333200093
10.1016/j.fusengdes.2011.01.112	WOS:000297824000041
10.1016/j.fusengdes.2011.04.049	WOS:000297426500195
10.1016/j.future.2011.11.005	WOS:000306888400018
10.1016/j.geoderma.2012.02.016	WOS:000303958500010
10.1016/j.gloplacha.2012.05.011	WOS:000307031000021
10.1016/j.ibmb.2010.05.004	WOS:000280616400002
10.1016/j.ibmb.2012.02.005	WOS:000303694300006
10.1016/j.ijhydene.2011.10.055	WOS:000301157300040
10.1016/j.ijhydene.2011.11.002	WOS:000305040200075
10.1016/j.ijhydene.2012.02.190	WOS:000304976300026
10.1016/j.ijhydene.2012.05.113	WOS:000309024700046
10.1016/j.ijhydene.2012.05.137	WOS:000309024700056
10.1016/j.ijms.2009.10.011	WOS:000273908300001
10.1016/j.ijms.2011.01.018	WOS:000295864100014
10.1016/j.ijrmhm.2010.03.001	WOS:000283698600003
10.1016/j.ijrmhm.2012.01.010	WOS:000304644800002
10.1016/j.jaac.2012.06.007	WOS:000307128300011
10.1016/j.jad.2011.06.012	WOS:000301996000148
10.1016/j.jad.2012.01.041	WOS:000302663900008
10.1016/j.jallcom.2003.08.005	WOS:000220343000005
10.1016/j.jallcom.2004.11.015	WOS:000229159300044
10.1016/j.jallcom.2007.04.041	WOS:000250822900100
10.1016/j.jallcom.2012.01.108	WOS:000300822300029
10.1016/j.jappgeo.2011.08.002	WOS:000301631200013
10.1016/j.jastp.2010.05.005	WOS:000279570200010
10.1016/j.jbiotec.2011.12.020	WOS:000300451800002
10.1016/j.jbiotec.2011.12.023	WOS:000303935000009
10.1016/j.jbiotec.2012.05.019	WOS:000307297500007
10.1016/j.jcis.2010.05.018	WOS:000279966700037
10.1016/j.jcrysgro.2004.10.113	WOS:000208324600048
10.1016/j.jcrysgro.2004.11.234	WOS:000208324600234
10.1016/j.jcrysgro.2004.11.235	WOS:000208324600235
10.1016/j.jcrysgro.2010.08.018	WOS:000283902800011
10.1016/j.jenvman.2011.12.024	WOS:000305204900003
10.1016/j.jenvrad.2010.02.014	WOS:000277530800012
10.1016/j.jeurceramsoc.2009.06.024	WOS:000272455600077
10.1016/j.jeurceramsoc.2011.05.021	WOS:000292667300002
10.1016/j.jeurceramsoc.2011.07.012	WOS:000297451400002
10.1016/j.jfoodeng.2011.08.023	WOS:000298909800014
10.1016/j.jhazmat.2009.08.090	WOS:000273135600047
10.1016/j.jmb.2003.08.034	WOS:000186102000001
10.1016/j.jmb.2011.04.038	WOS:000291913300010
10.1016/j.jmb.2012.01.028	WOS:000301682800001
10.1016/j.jmb.2012.01.056	WOS:000302446600007
10.1016/j.jmb.2012.04.023	WOS:000306250400005
10.1016/j.jmr.2006.04.011	WOS:000239707400004
10.1016/j.jmr.2009.08.004	WOS:000271071400013
10.1016/j.jmr.2011.10.019	WOS:000299656400043
10.1016/j.jneumeth.2003.11.004	WOS:000220234000009
10.1016/j.jnoncrysol.2003.11.029	WOS:000189274200031
10.1016/j.jnoncrysol.2011.10.009	WOS:000301207000015
10.1016/j.jnucmat.2003.09.001	WOS:000187074300012
10.1016/j.jnucmat.2008.12.222	WOS:000266386900199
10.1016/j.jnucmat.2008.12.224	WOS:000266386900200
10.1016/j.jnucmat.2010.09.050	WOS:000298128100106
10.1016/j.jnucmat.2010.10.033	WOS:000298128100210
10.1016/j.jnucmat.2011.09.035	WOS:000300462300028
10.1016/j.jphotobiol.2011.01.003	WOS:000292066000027
10.1016/j.jpowsour.2008.05.081	WOS:000259716800020
10.1016/j.jpowsour.2011.10.117	WOS:000300264400027
10.1016/j.jpowsour.2012.01.054	WOS:000301828300020
10.1016/j.jpowsour.2012.01.137	WOS:000302755400027
10.1016/j.jpowsour.2012.06.087	WOS:000309038100025
10.1016/j.jprot.2011.11.028	WOS:000300924700006
10.1016/j.jqsrt.2012.05.001	WOS:000306615400004
10.1016/j.laa.2011.05.019	WOS:000298122500015
10.1016/j.media.2011.12.002	WOS:000300754400014
10.1016/j.memsci.2011.10.054	WOS:000300932900002
